Colon;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;35.6[33.5-37.9];34.5[30.9-38.6]*;39.7[37.0-42.6]*;38.4[36.8-40.2]*;38.3[36.4-40.2];35.9[33.3-38.6]*;41.1[38.8-43.5]*;42.4[40.9-44.0]*
1976-1980;38.5[36.5-40.6];39.5[36.2-43.1]*;43.4[41.0-45.9]*;45.8[44.1-47.6]*;39.2[37.5-40.9]*;40.1[37.8-42.5]*;44.8[42.8-46.9]*;47.7[46.2-49.3]*
1981-1985;37.7[35.7-39.7]*;47.7[44.7-51.0];49.1[46.9-51.5];49.1[47.4-50.8]*;42.3[40.6-44.1]*;46.8[44.5-49.2]*;49.2[47.3-51.2]*;54.0[52.5-55.4]
1986-1990;42.3[40.3-44.3]*;49.1[46.2-52.2]*;47.8[45.7-50.1]*;51.5[49.9-53.2]*;45.6[43.9-47.3]*;53.9[51.7-56.2];52.5[50.7-54.4];54.8[53.4-56.2]*
1991-1995;44.9[43.0-46.9]*;54.9[52.2-57.7]*;50.2[48.3-52.3]*;55.5[54.0-57.1];48.2[46.6-50.0]*;55.0[52.9-57.2]*;54.3[52.6-56.1]*;57.4[56.0-58.9]*
1996-2000;48.4[46.6-50.4]*;58.5[56.0-61.0];56.6[54.7-58.6];56.6[55.1-58.2]*;50.8[49.2-52.6]*;61.6[59.6-63.6]*;59.1[57.4-60.8]*;59.3[57.9-60.8]*
2001-2005;53.1[51.4-54.9]*;59.4[57.3-61.7]*;58.1[56.4-59.9]*;58.6[57.2-60.0]*;57.4[55.8-59.1]*;64.4[62.6-66.3];61.3[59.7-62.9]*;63.5[62.2-64.9]*
2006-2010;58.8[57.3-60.4]*;63.8[61.9-65.7]*;61.7[60.1-63.4]*;64.5[63.2-65.8]*;59.6[58.1-61.1]*;64.6[62.9-66.4]*;65.3[63.8-66.9]*;67.0[65.8-68.3]*
2011-2015;68.3[66.8-69.7]*;66.1[64.3-67.9];65.1[63.6-66.6]*;66.2[65.0-67.5]*;69.3[68.0-70.6]*;68.6[67.0-70.3];69.6[68.3-71.0]*;68.5[67.3-69.6]*
2016-2020;72.9[71.6-74.2];66.1[64.5-67.8];69.8[68.4-71.2];68.7[67.5-69.8];73.0[71.7-74.2];69.9[68.3-71.5];72.0[70.7-73.3];70.6[69.5-71.7]
